EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM,AGENCYID
EVER88402,EVER,1988,4,1,SW Face (Bonington rte),,,,S Korea,Park Young-Bae,Park Young-Bae Everest Winter 1988,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,08/12/1988,10/01/1989,,33,35,12/01/1989,4,Abandoned at 7800m due to wind (no snow in gully),7800,FALSE,FALSE,FALSE,4,0,11,0,0,7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(08/12,5400m),C1(10/12,6000m),C2(14/12,6300m),C3(19/12,7500m),C4(10/01,7800m),xxx(10/01,7800m)","BC at normal site
C1 at top of Icefall
C2 in Western Cwm
C3 on SW Face 
C4 on SW Face
High point at C4.

Belgians made icefall route and charged $1200 and Rs 5000. In gully all ice, no snow so Sungdare and Park Jong-Guk say impossible to climb. Anyway very strong wind and rock avalanching. Stayed in C4 2-3 nights but made no attempt to go higher. Progress to C4 very slow because much snow as well as fierce winds. Fixed rope all way from C2 to C4. 2 members and 4 Sherpas to C3, 1 member and 2 Sherpas to C4.",None,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2453530,
LANR83301,LANR,1983,3,1,SW Ridge,,,,Japan,Ryohei Nishioku,Chuo University-Nepal Joint Expedition to Langtang Ri,TRUE,FALSE,FALSE,FALSE,3rd,,,,FALSE,FALSE,Nepal,,10/09/1983,09/10/1983,1220,29,35,15/10/1983,1,,7205,FALSE,FALSE,FALSE,3,0,6,4,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(10/09,5000m),C1(13/09,5760m),C2(20/09,6200m),C3(01/10,6700m),Smt(09/10)","BC on Langtang Glacier just west of Goldum as planned.

Not more on top because many spells bad weather that meant much extra work and food supplies finishing. Summit day very cloudy: left C3 7:20 am, on top 12:20.

C2 to top steep snow walls. Route condition different than Japanese in 1981: deep snow this year very dangerous, so had to vary actual route.


Shrestha, Tourism - 21 Oct 83

Success: summit reached 9 Oct at 12:20 pm. Put Japanese, Nepal and Cheo University flags on top (from C3 or elsewhere not said):
   Tsuchiya Yasunori, born 1953, sales manager
   Sundeep Gurung, 25
   Pema Sherpa, 35
   Pemba Lama

BC 11 Sept 5000m
C1 14 Sept 5760m
C2 and C3
All well and returned to BC (no date).",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451290,
DHA183301,DHA1,1983,3,1,NE Ridge,,,,Japan,Tsuneo Hasegawa,U-Tan Club Dhaulagiri I Expedition 1983,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,China,,27/09/1983,03/11/1983,,37,40,06/11/1983,4,Abandoned at 7700m due to high winds,7700,FALSE,FALSE,FALSE,3,0,15,0,1,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(27/09,4900m),TempC1(30/09,5100m),C1.ABC-NECol(08/10,5700m),C2(18/10,6600m),C3(01/11,7500m),xxx(03/11,7700m)","BC at usual NE Ridge route site.

Wind too strong; [Hasegawa and Ishii] were going for summit 3 Nov from C3, but went to ABC. After that Hasegawa tried alone for top on 5 Nov from ABC to top on same day. Left 1:00 am from ABC, but Chin coming down from C2 to ABC that day and Chin did not reach ABC and Hasegawa looked for him and thus diverted from summit bid. Waited for daylight, found Chin at 7:30 am in biv and came down with him. No other summit bid because 17th Nov time limit. 

Hasegawa did not try face because ridge route leader Yoshio was in bad condition (stayed BC a while then left 20 Oct), so Hasegawa had to take over as ridge leader. He hopes to make a solo ascent of an 8000er sometime in future. Main problem was snowfall in which lost temporary C1 and then high winds broke tents at C3.

Chin died below BC apparently from altitude problem. Had climbed very slowly throughout, though went to 7100m in carry intended for C3.

4 members in temporary C1 in avalanche but not hurt and went to ABC. This only avalanche. 2 members slight frostbite.

Yoshio sick (nature of illness not clear to other members).


Shrestha, Tourism - 14 Nov 1983

Chin died on Chambabarg Kharka hill on Nov 7 at 13:00 hours. Left BC Nov 6 with expedition but could not keep pace with group and left behind and spent 6 Nov night in glacier below BC. Nov 7 Kazumi Nishihira (1956, Hiroshima) and 1 Sherpa (Dawa Thundup) went to look for him and found him in bad condition and took him down (carried) but at 1:00 pm Chin died. Miss Kei Inoue massaged Chin's heart but failed to revive him. Body cremated on 8 Nov on C. hill.

Health of all others good. Ishii and Toba arrived KTM last night. 


Shrestha, Tourism - 24 Oct 1983

C1
C2 6600m (date?) established by Nobutaka Kusano and Masayoshi Utsumi.
All well. Weather continous snow, so climbing slow if necessary maybe ask 1 week extension [were granted 1 week extension].


Hasegawa & Chin - 16 Sept 1983

Hasegawa arrived KTM 15 Sept and leaves 19 Sept. Maybe waits for Chin's permit if leave KTM 19 Sept, arrive BC 1 Oct and climbs ridge first participating in making the camps and go as far as C3 at 7500m in perhaps 2 weeks to C3. Not to summit on this route then 1 week in BC and start solo ascent N Face maybe 25 Oct. 1 week to 10 days at first gate to about 6000m and return to BC. Finally push BC to summit with an summit 29 or 30 Oct and then descend via NW Ridge. 

N Face route - new, not Pear route
On face difficult rock band at 7500m area
As Hasegawa descends ridge, other members may be in camps on ridge.

Hasegawa has climbed Aconcagua South Face solo in winter in cold and very windy weather, so Dhaulagiri in late Oct ""no problem."" Also been to 8000m on Everest in great cold. He can arrive BC and go up immediately since he goes to 7000m twice every year (thus is acclimatized). This will be 2nd solo ascent of Dhaulagiri I. Kamuro made solo ascent but used Canadians C3 and fixed rope.",Chin died from altitude sickness,,,FALSE,TRUE,FALSE,FALSE,FALSE,,2451270,
DHA183303,DHA1,1983,3,1,NE Ridge,,,,France,Michel Metzger,French Dhaulagiri I Expedition 1983,TRUE,FALSE,FALSE,FALSE,24th,,,,FALSE,FALSE,,French Pass and Dhampus Peak,08/11/1983,11/11/1983,1400,3,5,13/11/1983,1,,8167,FALSE,FALSE,FALSE,0,0,2,2,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Climbed Dhampus Peak (DHAM-833-01),"BC(08/11,4700m),Biv1(09/11,6400m),Biv2(10/11,7500m),Smt(11/11),Biv3(11/11,6000m)","BC  at site of Japanese BC just vacated
Biv 1 above Col on NE Ridge
Biv 2 at end of NE Ridge (same as Japanese just before them).

This expedition reached Dhaulagiri I without permission.

Only 1 tent each, had 18 kg loads. from BC to top in true alpine-style. Had acclimatized on Dhampus (summit 3 Nov, 3 nights on French pass, 2 nights on Dhampus pass). Began Dhaulagiri ascent 9 Nov 1:30 am. 11 Nov started ascent (9:30 am cold wind before) thinking too see route only but weather so good kept on to top (had gas for only one night more) via ridge without going onto face at all. Reached summit 2:00 pm and biv at 6000m at 10:00 pm. 12 Nov arrived BC 12:00 noon. Used Japanese ropes on ridge also useful, but not necessary. Had to wait for Japanese to leave mountain since French had no permit.",,,,FALSE,TRUE,FALSE,FALSE,FALSE,,2451278,
DHA183302,DHA1,1983,3,1,N Face (Pear rte),,,,France,Yves Astier-Perret,French Dhaulagiri I Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,01/10/1983,23/10/1983,,22,23,24/10/1983,5,Abandoned at 6020m due to fresh snow and wind constantly (some avalanching & huge amount of snow),6020,FALSE,FALSE,FALSE,2,0,7,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(01/10,4650m),C1(15/10,5500m),C2(23/10,6020m),xxx(23/10,6020m)","BC at near Japanese 1982 autumn BC site.

Fresh snow and wind constantly. Did have some avalanching in abnormally large amount of snow. Really needed Sherpas to help make tracks in deep snow.

Difficult but not dangerous; not difficult to C2, difficulties came higher. In normal weather not much danger.",None,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451259,
NEMJ83301,NEMJ,1983,3,1,E Ridge from SW,,,,Japan,Junji Kurotaki,Nepal and Hirosaki University Mt. Himlung Joint Expedition 1983,TRUE,FALSE,FALSE,FALSE,1st,,,,FALSE,FALSE,,,14/09/1983,27/10/1983,1605,43,0,30/12/1899,1,,7140,FALSE,FALSE,FALSE,3,0,6,3,0,3,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/09,4300m),C1(26/09,5050m),C2(01/10,5690m),C3(18/10,6240m),Biv(26/10,6590m),Smt(27/10)","Expeditions to Himlung prior to 1992 were probably climbing Nemjung.

BC at east of glacier (beside glacier).

No plan to put a C4 on ridge. Started from C3 on 27 Oct at 5:30 am and 2 from biv at 6590m at 6:30 am. On top 4:05 pm by all 4 summiters: biv men had to make route so moved more slowly then C3 men, who caught up with them. Strong wind but clear. Minami and Lama returned to C3 while other 3 to biv.

S Ridge would be terribly difficult: glacier at bottom ""not so good"" and then difficult rock face below ridge itself. East Ridge is only route.

From C3 to top along ridge difficult ice conditions (with soft snow over hard ice). Beyond C2 very sharp rock ridge which had to go round. Most difficult part of climb of climb was very steep final ridge.

No serious accidents. One Sherpa hurt finger with ice axe and could no longer bend it.

Leader did not take part in climbing at all.",None serious; one Sherpa hurt finger with ice axe and could no longer bend it,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451308,
HIME83301,HIME,1983,3,1,S Face-W Ridge,,,,Japan,Hisatoshi Takabayashi,Kagawa Worker's Alpine Federation Himalchuli Expedition 1983,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,15/09/1983,30/09/1983,,15,0,30/12/1899,6,Abandoned at 6500m due to fatal accident,6500,FALSE,FALSE,FALSE,3,0,9,0,2,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(15/09,3800m),C1.ABC(21/09,4800m),C2(26/09,5600m),C3(6500m),xxx(30/09,6500m)","BC south-southwest of main peak near glacier.

After Sept 30 bad weather (snow and avalanche danger) so all in C1. On Oct 6 went to make C3 and 4 members Fujita, Hase, Kanazawa and Morisato carried personal equipment to go to C3 and other 4 members in support carrying supplies of food and tents with 2 Sherpas resting in BC for 1st summit attack after 5-6 days.

1st team reached 6300m at flat place. 9:10 am one member slipped; all roped together and expected him to stop himself but he did not and pulled others (not strong belay because seemed safe place). All 4 slipped 200m. Hase died 9:15 am and Fujita 5 pm in tent near where he lay unable to move him.

Kanazawa injured unable to go down from where Fujita died, but Morisato went down to C2 on 7 Oct. Helicopter went to C1 on 9 Oct which evacuated Kanazawa.

Yes - want to do it [again] in 1985 or 1986.

Route followed is easiest routes on Himalchuli.


Mrs Otsu - 10 Oct 83

Kanazawa has some fractures and breathing problem. Morisato in better condition. Kanazawa in Otsu's house and stays here at least 3-4 more days.

Expedition abandoned. Others arrive KTM 18 Oct.",2 killed by fall,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451236,
KGUR83301,KGUR,1983,3,1,NW Ridge,,,,Japan,Shuichi Torii,1983 Miyazaki Kang Guru Expedition,TRUE,FALSE,FALSE,FALSE,"8th,9th",,,,FALSE,FALSE,,,30/09/1983,19/10/1983,,19,0,30/12/1899,1,,6981,FALSE,FALSE,FALSE,3,0,10,5,0,4,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"BC(30/09,3600m),C1(02/10,4800m),C2(15/10,5800m),C3(18/10,6200m),Smt(19-20/10)","BC northeast of Meta village.

Between C1 and C2 big icefall and crevasses = most difficult part; ice wall above C2, then C3 to W Ridge long ice wall. Route more difficult than expected: icefall and ice walls took more time to surmount.

Noburo Ueno left team before BC because not well (58 years old).

Oxygen used by 1 member who reached C3 and had to go down (medical use).",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451255,
MAKA83302,MAKA,1983,3,1,Makalu La-NW Ridge,,,,Japan,Masaaki Fukushima,Bernina Alpine Club Makalu Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,,05/09/1983,22/09/1983,,17,0,30/12/1899,5,Abandoned at 6700m due to deep snow,6700,FALSE,FALSE,FALSE,2,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(05/09,5200m),C1(08/09,5700m),C2(17/09,6200m),xxx(22-23/09,6700m)","C2 to C3 very deep snow and other 2 members in poor health for long time. Easy but long route - very safe and easy.
","None except 2 member's poor health: 1 old injury to back gave trouble after carrying many loads to C1, other had diarrhea long time",,,FALSE,TRUE,FALSE,FALSE,FALSE,,2451273,
MAKA83301,MAKA,1983,3,1,W Pillar,,,,New Zealand,Peter Hillary,New Zealand Makalu Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,Australia,,30/08/1983,14/10/1983,,45,0,30/12/1899,6,,7600,FALSE,FALSE,FALSE,3,0,4,0,2,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(30/08,5360),C1(04/09,5900m),C2(14/09,6480m),C3(29/09,7100m),xxx(14/10,7600m)","BC probably at French 1971 C1.

Carlos Buhler (US-Canada Makalu) - 9 June 84

Buhler thinks it was foolish for New Zealanders not to have fixed rope in lower section of climb where they would have had to move often in carrying loads of rope, etc. up to higher parts. No wonder they lost a member here.


2nd death (of Moorhead) on 15th Oct - 2 out of 4 members gone.

Hard work making route from C2 to C3 because so much deep snow, it was necessary to excavate to get to rock for belays. By 14 Oct when reached 7600m had gotten to summit snowfields and were ready for summit push. Had climed all the hard part including great crack.


Fred From - 27 Oct 83

14 Oct Fred and Mark got to high point of 7600m fixing route to top of hard part of climb and just below French C5. No C4 even made as it would have been one a short distance above 7600m in final push.

14 Oct returned to C3 snow cave at 7000m. Peter was in BC. Went there on 14th. 15 Oct Fred and Mark continued descent to BC. At about 10:45 Mark fell (why no idea) on easy ground, good snow, clear weather and light wind. He was 40m vertically below Fred and about 100m away. He cart-wheeled in big movement suggesting he tripped or stumbled and his body fell about 600m vertically. From never got closer than 100m, so no idea exactly what killed him. Was lying peacefully on his back, head down, arms across chest.

Fred descended as quickly and safely as he could to find him since he'd disappeared from sight and to help him but from 100m could see no hope and too dangerous to go alone to him. Reached BC at dusk.
 
2 days later Peter and Fred tried to reach body but wind too strong. Went to C2 6580m and Mark's body at about 6280m. Necessary to go up to C2 and then try to reach him. Returned to C1. Peter said he did not go back above C2 and Fred's fingers and toes too cold-affected to solo it, which would have been possible; otherwise neither of us understood the accident, so we didn't trust our judgement any more.

Fred and Peter would like to return to West Pillar in pre-monsoon season when should not be so much snow and do climb alpine-style, not putting in fixed camps and rope as this autumn.

Peter returning to KTM with baggage; arrives in 10 days, possibly much sooner.


Makalu Expedition BC, 4 Oct 1983 - Peter Hillary

Fred, Mark and I have returned from the mountain where we have had a tragedy. While Fred and Bill Denz were descending from C2 to C1 on the 3rd of October at 2 pm. They were caught in an avalanche. Fred managed to extricate himself and Bill who was below, was swept one hundred meters into a snow basin below the ridge. There was a considerable accumulation of avalanche debris and there was no sign of him to be found. From the time of avalanche and until 6:30 pm (dark) we probed in the debris and searched crevasses but to no avail. Mark and I were at C1 and ascended to assist Fred in the search. The accident occured at 6400m and he was swept to the southern side of the ridge where he was buried under 3-4 meters of snow. The avalanche was 500 meters wide and Bill's body has not been found nor any of his equipment.


Report on accident involving the death of a member of the expedition.

Fred From, Mark Moorhead and myself have returned to BC today from the West Ridge of Makalu where we have had a tragedy. While Fred From and Bill Denz were descending from C2 to C1 on the 3rd of October at 2 pm, they were caught in an avalanche. From managed to extracate himself and Denz who was below, was swept one hundred meters in a snow basin below the ridge on the southern side. There was a considerable accumulation of avalanche debris (the avalanche break being 500m wide) and Denz was buried under 3-4 meters of debris and consequently, we could find no trace of him or any of his equipment.

The avalanche occurred at 6400m altitude. From the time of the avalanche and until darkness at 6:30 pm we probed the avalanche debris with a bamboo pole and ice axed and searched a nearby crevasse...but to no avail.

Moorhead and myself were at C1 at the time and observed Denz's fall in the avalanche. We ascended to assist From with the search. Denz died in the avalanche and was unrecovered.


Letter from Bill, Makalu BC - 13 Sept 1983

We are progressing with the route satisfactorily we are all getting on well and what's more, it the weather continues to be reasonable we have to make our summit bid towards the end of September. C1 is at 5900m and we have soloed the ridge to C2 at 6420m which is a snow cave at the foot of the really steep. (This camp is in the same vicinity as Roskelley's C2).

We hope to solo 1/2 way to C3 and fix the rock steps with rope. I expect to establish C3, at 7400m on about the 18th to 20t of September and then work on the main buttress done over the next 3 or 4 days. We hope to make a gear damp at the campsite sometime during the 21st to the 24th. Our C3 we hope to establish higher than the French/US camp so as to reduce problems for the summit day. Hopefully it will be at 7900m.


Letter from Bill - 13 Sept 1983

We have established C2 on the SW Pillar of Makalu at an altitude of 6480m. This is the same location as Roskelley's C2. We are using a safe roamy crevasse and have stocked it with food, fuel and rope. We go up to C1 tonight (amended height 5950m) and occupy C2 tomorrow. We hope to stay there for some time, working on the camps above.

We fixed no new rope to C2 and used only 10m of old fixed rope. The French ""Khumbakarna"" expedition arrived 4 days ago and are carrying loads to their C1 on Makalu II. They also have permission for Baruntse.","2 fatalities (1 by avalanche, 1 by fall)",,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451295,
NILN83301,NILN,1983,3,1,SE Face,,,,Australia,Zac Zaharias,Australian Army Nilgiri N Expedition,TRUE,FALSE,FALSE,FALSE,"4th,5th",,,,FALSE,FALSE,New Zealand,Pokhara->Lete->Mristi Khola,08/10/1983,24/10/1983,,16,23,31/10/1983,1,,7061,FALSE,FALSE,FALSE,0,0,8,7,0,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"BC(08/10,4050m),C1(09/10,4500m),C2(16/10,5450m),C3(23/10,6150m),Smt(24,26/10)","BC on glacier southeast of mountain, 20 minutes from Annapurna I BC.

Technical climbing between C2 and C3: fixed rope almost entire section. Steep and exposed, very sharp ridge or arrete and snow initially very soft in warmer weather than later on. 

Some rockfall in band just below face hit members on helmets.

Doctor ill and left early because of illness.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451305,
ANN383302,ANN3,1983,3,1,SW Face-NW Ridge,,,,Australia,Jonathan Chester,1983 Australian Annapurna III Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,UK,,22/09/1983,22/10/1983,,30,0,30/12/1899,4,Abandoned at 7135m due to strong winds,7135,FALSE,FALSE,FALSE,0,0,5,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(22/09,4665m),C1(28/09,5030m),C2(30/09,5485m),C3(08/10,6095m),C4(19/10,6705m),Biv(22/10,7315m),xxx","BC on glacier southwest of Annapurna III
C3 at West Ridge.

After 8th Oct was snowstorm of 3-1/2 days and then had to dig fixed rope out from under meters of snow. 22nd Oct, after having fixed ropes for 2 days, attempted push to top, got to top of S Face. 3 bivouacked at high point that night to do easy ""trivial"" long slope to top but next morning strong winds prevented any upward progress at all. Then another snowstorm night of 24th Oct buried ropes and had 2 frostbite cases, McDowell and Teague, who needed helicopter evacuation.

Lot more technical than anticipated. C2 to C3 possibly variation of earlier expeditions.

Adrian Teague and Jonathan Chester came out in Austrian Manaslu's helicopter; Teague frostbitten when fell asleep in unprepared biv and Chester next morning and in descent in storm.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451258,
ANN383301,ANN3,1983,3,1,E Ridge (for acclim),SE Pillar,,,UK,Nikola Kekus,British Annapurna III Expedition 1983,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,Pokhara->Seti Khola->BC,05/09/1983,08/10/1983,,33,45,20/10/1983,6,Abandoned at 6300m due to fatal accident,6300,FALSE,FALSE,FALSE,0,0,4,0,1,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(05/09,3500m),ABC(11/09,4500m),Snowhole1(28/09,6100m),Snowhole2(06/10,6150m),xxx(08/10,6300m)","On 10 Oct started descent, came to bergschrund at about 6300m and went into crevasse here in very bad weather (white-out) and avalanches coming down mountain (1 buried both men and turning point in Uttley's health - middle night of 11th). 13th wind but clear and Pilling able get out but Uttley not. Left him with 5 days food and some fuel and met others at ABC on 14th. Very slow downwards because snow so deep and upwards movement even (on this frozen cover) and Pilling shattered. Again weather turned bad with avalanches and no actual effort made to go up. Uttley's condition when Pilling left was so bad he probably would just sink away.

Pillar Ok but need period of 10 days.

Were going halfway East Ridge as acclimatization and to put in snowholes with supplies in case needed to descend this way. Then would make ascent via SE Ridge Pillar. After Uttley accident never made try for Pillar.


Shrestha, Tourism - 26 Nov 83

Leader's reports death of Robert G. Uttley, born 1961, geology student, Sheffield, on approx 14 Oct due to pneumonia and related illness at 6300m on East Ridge of Annapurna III. He was accompanied by Trevor Pilling, born 1956, student, Worcester.

The 2 men were caught in 5-day storm at this alitude (6300m). ""Uttley's condition gradually deteriorating to state where he was unable to function and even attempt retreat without further assistance of more members. Eventually on 13 Oct Trevor Pilling had to retreat in order to save his own life. Attempts to conduct a rescue were useless as the weather conditions were very bad (new snow) and this may have endangered further life.""

All 4 members had reached altitude 6150m, but 2 numbers, Uttley and Pilling had reached 6300m on 8 Oct. In evening of 8 Oct weather broke and they tried to descend but due to heavy snowfall and wind they could not come down, they were in a crevasse at that altitude. It was decided to abandon expedition on 18 Oct and left BC on 20 Oct and arrive KTM 26 Oct (today).

BC  3500m 5  Sept
ABC 4500m 11 Sept
C2  snowhole on East Ridge
    6100m 28 Sept
Next snowhole on East Ridge 6150m 3 Oct

Kekus and Jonathan Tinker (born 1959, laborer, leader) were at ABC during storm and tried to go up to rescue ""but because of continuous bad weather they could not go up.""

All 3 survivors are well.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451244,
DHA683301,DHA6,1983,3,1,W Face-W Ridge,,,,Canada,Albi Sole,Canadian Expedition to Nepal Himalaya 1983,TRUE,FALSE,FALSE,FALSE,4th,,,,FALSE,FALSE,UK,,14/09/1983,11/10/1983,1300,27,36,20/10/1983,1,,7268,FALSE,FALSE,FALSE,0,0,5,4,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(14/09),Smt(11/10)","BC at Kaphe Khola near point 4100m on Dhaulagiri Himal map.

Originally tried SW Face and then shifted to SW Ridge because of threatening weather that meant great avalanche danger on face. Very safe route, less challenging than expected, but very long route.


Shrestha, Tourism - 24 Oct 83

Canada Dhaulagiri VI
1. Daniel George Griffith, 1950, mountain guide
2. Leader Albert Sole
3. Robert George Rohn, 1958
4. Peter Carter

From SW Face reached top at 1:00 pm and stayed 1 hour. Started at 8:00 am from unspecified camp - at 6:00 pm back in camp. No further attempts and will leave BC 20 Oct. All well.",Only problem was Down's recurrence of old symptoms from road accident before coming to Nepal,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451247,
LSHR83301,LSHR,1983,3,1,SE Ridge,,,,Canada,Roger Marshall,Canadian Lhotse Shar Expedition,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,USA,,04/09/1983,21/10/1983,,47,0,30/12/1899,10,Abandoned at 7925m due to route difficulties,7925,FALSE,FALSE,FALSE,5,0,3,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"BC(04/09,5275m),C1(05/09,5670m),C2(26/09,6100m),C3(17/10,6555m),C4(19/10,7010m),C5(20/10,7500m),xxx(21/10,7925m)","BC at 40 mins northeast of Island Peak BC.

C1 to C2: lot of vertical ice very loose required lot of traversing to get around ice cliffs - plus lot of bad weather. Above C2 2 more icefalls, very steep ice cliffs of 500 ft, finally climbed ice ridge close to S Face which was dangerous from falling ice, then technical rock, then corniced knife ridge.",,,,FALSE,FALSE,FALSE,FALSE,FALSE,,2451302,
